Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expedted Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%,Cluster
Aaron Wan-Bissaka,eng ENG,West Ham,DF,27-157,32,31,2794,2,2,1,0,1.2,2.9,98,125,139,0.06,0.06,0.04,0.09,,,,,33.3,0.16,0.13,15.3,1277,81.1,6722,90.0,82.0,47.4,29,89,30,11,125,83,2.67,7,0.23,61,43,26,7,31,9,22,59,1960,136,620,838,531,40,101,53.5,34.7,933,3303,98,57,12,28,21,1135,139,22,24,4,64,155,22,29,43.1,3
Alexis Mac Allister,ar ARG,Liverpool,MF,26-129,33,30,2553,5,4,6,0,2.8,4.4,34,170,78,0.18,0.14,0.1,0.16,,,,,34.2,0.46,0.13,18.1,1245,83.4,5602,90.1,88.3,55.2,43,118,34,2,170,118,4.16,14,0.49,95,58,101,46,60,6,54,22,1827,55,279,944,624,60,42,38.1,50.0,893,1924,34,41,5,31,22,1203,78,60,39,2,84,145,19,34,35.8,3
Andrew Robertson,sct SCO,Liverpool,DF,31-052,31,27,2308,0,0,3,1,1.0,4.1,58,165,95,0.0,0.0,0.04,0.16,,,,,15.4,0.08,0.0,14.5,1456,83.0,7781,94.1,86.8,46.8,38,144,28,16,165,75,2.92,3,0.12,38,22,47,17,9,4,5,20,1947,86,500,882,578,50,18,38.9,55.6,1028,2588,58,48,6,25,11,1302,95,11,8,2,136,91,6,12,33.3,3
Antonee Robinson,us USA,Fulham,DF,27-267,33,32,2899,0,10,8,0,0.7,4.1,110,120,257,0.0,0.31,0.02,0.13,,,,,12.5,0.06,0.0,22.1,1482,76.5,9277,86.5,78.9,56.6,41,109,50,26,120,74,2.3,11,0.34,84,56,86,43,36,6,30,56,2339,121,741,893,739,65,75,44.0,41.3,1252,3937,110,59,29,40,18,1402,257,30,17,6,158,142,45,25,64.3,3
Bernardo Silva,pt POR,Manchester City,"MF,FW",30-265,29,25,2311,3,4,7,0,3.2,4.2,92,109,180,0.12,0.16,0.13,0.17,,,,,35.7,0.39,0.11,12.9,1284,86.9,3579,91.9,88.7,65.3,44,70,30,7,109,79,3.08,8,0.31,49,32,49,26,30,7,23,19,1705,42,298,675,749,127,55,45.5,41.8,1068,3501,92,59,30,21,31,1261,180,25,27,3,50,90,5,10,33.3,3
Bruno Fernandes,pt POR,Manchester Utd,MF,30-236,33,32,2758,8,9,4,2,9.5,7.6,65,281,118,0.26,0.29,0.31,0.25,,,,,30.1,0.82,0.06,21.9,1522,75.2,9407,86.7,80.4,52.6,84,176,73,11,281,169,5.51,12,0.39,76,47,75,46,32,4,28,25,2394,59,398,1130,888,71,65,41.5,49.2,1379,3436,65,60,11,38,37,1665,118,26,37,2,172,192,21,28,42.9,3
Bruno Guimarães,br BRA,Newcastle Utd,MF,27-167,34,34,2912,4,6,6,0,3.8,5.6,53,241,79,0.12,0.19,0.12,0.17,,,,,23.7,0.28,0.11,16.2,1305,82.1,7054,90.7,87.5,56.4,45,158,67,6,241,119,3.68,17,0.53,71,41,61,32,33,9,24,27,1965,74,397,1011,578,71,71,47.9,29.6,1275,3063,53,39,11,51,73,1475,79,54,99,2,24,161,17,16,51.5,3
Daniel Muñoz,co COL,Crystal Palace,DF,28-341,33,33,2868,4,4,9,0,4.6,4.4,49,83,183,0.13,0.13,0.14,0.14,,,,,37.5,0.38,0.13,12.3,1004,75.8,4450,85.7,77.1,44.3,39,53,31,13,83,74,2.32,9,0.28,109,70,86,37,35,3,32,39,1788,107,508,743,556,89,50,38.0,58.0,695,1461,49,32,15,50,18,846,183,47,19,13,60,149,56,73,43.4,3
Declan Rice,eng ENG,Arsenal,MF,26-108,32,30,2572,2,7,7,1,2.7,6.5,87,175,88,0.07,0.24,0.09,0.23,,,,,24.4,0.35,0.05,19.7,1285,83.6,5804,92.4,90.3,49.3,55,123,34,5,175,102,3.57,9,0.31,49,22,37,21,24,11,13,24,1806,71,294,846,683,74,26,42.3,53.8,960,3225,87,54,16,36,29,1182,88,19,15,1,155,139,30,23,56.6,3
Diogo Dalot,pt POR,Manchester Utd,DF,26-045,32,31,2788,0,3,5,0,2.0,2.0,62,102,164,0.0,0.1,0.06,0.07,,,,,21.7,0.16,0.0,15.6,1336,80.5,6609,89.9,81.9,55.4,26,61,25,8,102,74,2.39,5,0.16,67,39,52,18,22,9,13,37,1965,113,658,767,557,66,53,50.9,41.5,1111,2684,62,37,16,37,21,1186,164,40,9,4,65,164,38,21,64.4,3
