Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expedted Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%,Cluster
Aaron Cresswell,eng ENG,West Ham,DF,35-146,15,8,676,0,0,2,0,0.1,1.1,4,28,2,0.0,0.0,0.01,0.15,,,,,0.0,0.0,0.0,29.8,415,81.5,3045,91.7,87.4,53.1,7,43,4,1,28,12,1.6,0,0.0,9,5,9,2,9,4,5,8,576,39,227,281,73,1,2,50.0,50.0,228,398,4,7,0,3,0,353,2,3,2,0,28,29,7,6,53.8,0
Aaron Ramsdale,eng ENG,Southampton,GK,26-361,27,27,2430,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.3,67.1,7.4,28.6,,0.0,,,715,64.6,15538,99.5,96.2,38.6,0,33,1,0,0,3,0.11,0,0.0,0,0,2,2,0,0,0,2,1189,860,1166,26,0,0,0,,,723,2159,0,0,0,3,0,646,0,1,4,0,0,20,5,0,100.0,0
Abdukodir Khusanov,uz UZB,Manchester City,DF,21-070,6,6,503,0,0,1,0,0.0,0.1,1,25,2,0.0,0.0,0.0,0.02,,,,,0.0,0.0,0.0,23.9,360,91.1,1976,94.7,97.0,26.1,2,23,0,0,25,5,0.89,0,0.0,5,4,3,1,5,4,1,3,445,45,205,211,31,1,2,0.0,100.0,274,435,1,1,0,2,1,332,2,3,3,0,1,27,6,4,60.0,0
Adam Smith,eng ENG,Bournemouth,DF,34-011,22,17,1409,0,0,6,0,0.7,0.3,12,40,31,0.0,0.0,0.04,0.02,,,,,0.0,0.0,0.0,16.9,436,75.7,2372,88.0,78.1,37.5,7,41,8,5,40,20,1.28,2,0.13,21,10,25,13,12,5,7,14,707,39,217,332,162,6,15,40.0,40.0,305,585,12,15,0,10,6,333,31,15,11,0,30,43,12,13,48.0,0
Adam Webster,eng ENG,Brighton,DF,30-126,11,8,617,0,0,0,0,0.0,0.5,7,40,2,0.0,0.0,0.0,0.07,,,,,100.0,0.15,0.0,15.3,429,85.6,3140,95.5,91.8,50.6,3,32,2,0,40,10,1.46,3,0.44,8,5,11,6,12,9,3,14,569,84,279,271,22,8,3,33.3,66.7,326,1142,7,2,0,3,1,384,2,5,2,1,1,20,17,4,81.0,0
Albert Grønbaek,dk DEN,Southampton,"FW,MF",23-352,4,2,143,0,0,0,0,0.1,0.0,1,1,3,0.0,0.0,0.07,0.01,,,,,0.0,0.0,0.0,22.4,13,72.2,43,81.8,50.0,,1,2,0,0,1,2,1.26,0,0.0,4,1,10,7,1,1,0,0,38,2,9,14,15,2,4,0.0,100.0,18,15,1,0,1,5,4,21,3,0,1,0,1,6,2,0,100.0,0
Alex McCarthy,eng ENG,Southampton,GK,35-158,5,5,450,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.6,70.3,0.0,0.0,,0.0,,,117,75.0,1985,95.3,91.8,49.2,0,5,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,173,141,173,0,0,0,0,,,100,276,0,0,0,0,0,88,0,0,1,0,0,4,2,0,100.0,0
Alex Palmer,eng ENG,Ipswich Town,GK,28-273,11,11,990,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,2.45,58.7,0.0,0.0,,0.0,,,241,67.7,5386,95.8,100.0,43.8,1,7,0,0,1,2,0.18,0,0.0,0,0,0,0,0,0,0,0,400,334,393,8,0,0,0,,,180,604,0,0,0,1,0,132,0,1,2,0,0,15,4,0,100.0,0
Ali Al Hamadi,iq IRQ,Ipswich Town,FW,23-070,11,0,134,0,0,3,0,0.4,0.1,4,3,14,0.0,0.0,0.24,0.05,,,,,0.0,0.0,0.0,15.7,25,83.3,29,87.0,71.4,,2,0,0,0,3,8,5.37,0,0.0,1,0,2,2,0,0,0,0,53,2,6,20,30,9,7,57.1,42.9,29,111,4,3,4,7,4,36,14,8,3,1,0,4,5,9,35.7,0
Alisson,br BRA,Liverpool,GK,32-220,25,25,2238,0,0,0,0,0.0,0.6,0,0,0,0.0,0.0,0.0,0.02,0.92,71.4,36.0,0.0,,0.0,,,681,83.6,9692,99.0,98.6,48.1,1,11,0,0,0,6,0.24,1,0.04,1,0,1,1,0,0,0,0,860,622,844,16,0,0,1,100.0,0.0,550,1284,0,0,0,1,0,525,0,0,2,0,0,42,6,0,100.0,0
